id,dom_ok,mltask_ok,causa_provavel
A27US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US2O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US4O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US5O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US7O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US8O1,Nao,Sim,erro de DOMINIO (estagio 1)
A27US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A27US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US9Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A28US1Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US2Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A28US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US4Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US5Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US6Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US8Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US9Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A28US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US2O1,Nao,Nao,erro de DOMINIO (estagio 1)
A28US3O1,Nao,Nao,erro de DOMINIO (estagio 1)
